Manager ID (#),DOB (dd-mm-yyyy),"Sex (female, male, prefer-not-to-say)","Region (APAC, UK & EMEA, USA)",Department,"Seniority (Colleague, Senior leader)",Hire Date (dd-mm-yyyy),Leadership rating - Commercial Acumn (360 rating),Leadership rating - Communication (360 rating),Leadership rating - Change Agility (360 rating),Leadership rating - Building Capability (360 rating),Leadership rating - Creating positive culture (360),# of previous Managerial roles,Turnover rate (as a % of team size for FY2023),Team size (#),2023 Team Engagement score (average eNPS),Full-Time Equivalent (FTE)
8667,07/08/1990,Male,UK & EMEA,Manufacturing,Colleague,11/8/2021,4.6,3.6,2.7,3.8,4.2,3.0,0,4,23,1.0
8430,17/03/1990,Female,UK & EMEA,Human Resources,Colleague,4/27/2020,4.6,4.4,3.1,4.5,4.5,3.0,0,1,44,1.0
8541,25/05/1988,Male,USA,Human Resources,Colleague,5/3/2021,4.6,4.5,2.6,4.5,3.6,3.0,0,4,28,1.0
8705,07/09/1996,Male,USA,Manufacturing,Colleague,1/31/2022,4.6,3.7,2.6,4.4,3.9,3.0,0,4,46,1.0
8821,31/10/1994,Male,UK & EMEA,Sales & Marketing,Colleague,8/22/2022,4.6,4.3,2.7,3.9,3.5,3.0,0,4,86,1.0
8760,16/08/1986,Female,USA,Sales & Marketing,Colleague,5/24/2022,4.6,4.4,4.0,3.9,3.7,3.0,0,5,93,1.0
8262,02/12/1970,Male,UK & EMEA,Research Department,Senior Leader,8/6/2018,4.5,4.1,2.0,4.5,4.7,4.0,0,1,81,1.0
8636,16/08/1998,Female,APAC,Manufacturing,Colleague,9/22/2021,4.5,3.8,3.2,4.0,4.5,2.0,0,4,39,1.0
8139,21/10/1952,Male,UK & EMEA,Human Resources,Colleague,9/1/2015,4.5,4.5,4.0,4.7,3.6,6.0,0,4,38,1.0
8035,11/06/1985,Female,UK & EMEA,Sales & Marketing,Colleague,6/22/2009,4.5,3.5,3.5,3.8,4.7,5.0,0,5,94,0.9
8963,30/01/1993,Male,UK & EMEA,Manufacturing,Colleague,4/24/2023,4.5,3.8,2.7,3.8,3.3,4.0,0,4,35,1.0
8794,22/09/1990,Male,APAC,Manufacturing,Colleague,7/18/2022,4.5,4.2,3.3,4.4,4.8,4.0,0,2,71,1.0
8574,18/05/1999,Female,UK & EMEA,Manufacturing,Colleague,7/5/2021,4.5,3.7,2.9,4.8,4.0,3.0,0,5,38,1.0
8626,23/04/1974,Male,USA,Research Department,Senior Leader,9/7/2021,4.5,4.3,2.4,4.1,4.0,5.0,0,1,26,1.0
8465,13/10/1979,Male,USA,Research Department,Senior Leader,8/26/2020,4.5,4.0,3.7,3.9,3.8,4.0,0,4,85,1.0
8761,22/02/1983,Male,UK & EMEA,Human Resources,Senior Leader,5/30/2022,4.5,3.7,2.8,4.5,4.0,4.0,0,4,38,1.0
8168,21/10/1983,Female,UK & EMEA,Finance,Colleague,11/14/2016,4.5,4.3,4.0,3.6,3.9,3.0,0,4,100,1.0
8458,23/04/1996,Male,APAC,Research Department,Colleague,8/5/2020,4.5,4.7,2.6,4.1,3.4,2.0,0,4,7,1.0
8893,24/02/1991,Female,UK & EMEA,Sales & Marketing,Colleague,11/14/2022,4.5,3.9,2.6,3.9,3.6,3.0,0,4,83,1.0
8601,01/01/2000,Female,APAC,Manufacturing,Colleague,8/9/2021,4.5,4.8,3.6,4.2,3.9,2.0,0,2,40,1.0
8625,02/08/1994,Female,APAC,Manufacturing,Colleague,9/7/2021,4.5,3.3,2.4,3.1,4.4,4.0,0,4,38,1.0
8340,21/08/1988,Male,UK & EMEA,Manufacturing,Colleague,7/15/2019,4.4,3.9,3.2,3.4,4.0,4.0,0,1,26,1.0
8719,19/12/1987,Male,UK & EMEA,Research Department,Colleague,3/7/2022,4.4,4.4,2.5,3.6,3.8,2.0,0,4,86,1.0
8018,27/09/1982,Female,APAC,Research Department,Colleague,7/3/2006,4.4,3.3,2.4,4.0,4.0,4.0,0,4,75,1.0
8959,23/10/2000,Male,USA,Manufacturing,Colleague,4/12/2023,4.4,4.0,2.9,4.5,3.9,3.0,0,1,55,1.0
8196,29/05/1984,Female,UK & EMEA,Finance,Colleague,6/5/2017,4.4,3.7,3.4,4.1,4.7,4.0,0,4,42,1.0
8904,30/11/1988,Male,USA,Sales & Marketing,Colleague,12/12/2022,4.4,3.6,4.3,3.6,3.9,3.0,0,5,94,1.0
8540,21/10/1987,Male,UK & EMEA,Manufacturing,Colleague,4/26/2021,4.4,4.9,3.8,4.7,4.1,3.0,0,2,-21,1.0
8421,29/05/1991,Female,UK & EMEA,Research Department,Colleague,4/6/2020,4.4,4.0,3.9,3.3,3.3,2.0,0,2,-3,1.0
8609,15/04/1996,Female,APAC,Research Department,Colleague,8/23/2021,4.4,3.8,2.6,4.2,4.5,2.0,0,5,49,1.0
8195,10/09/1985,Female,USA,Research Department,Senior Leader,5/8/2017,4.4,4.5,3.7,3.6,4.7,4.0,0,2,-10,1.0
8829,24/06/1996,Male,UK & EMEA,Sales & Marketing,Colleague,9/5/2022,4.4,3.8,2.6,4.4,3.9,3.0,0,4,18,1.0
8051,02/09/1986,Male,APAC,Research Department,Colleague,8/30/2010,4.4,4.2,3.0,4.2,3.8,4.0,0,5,61,1.0
8969,25/12/1986,Male,UK & EMEA,Manufacturing,Colleague,5/15/2023,4.4,3.5,4.4,3.5,3.2,2.0,0,2,72,1.0
8514,14/02/1994,Male,USA,Manufacturing,Colleague,1/5/2021,4.4,3.0,3.7,4.3,3.7,3.0,0,1,10,1.0
8450,13/11/1989,Female,APAC,Sales & Marketing,Colleague,7/6/2020,4.4,4.1,3.1,3.0,3.5,2.0,0,2,35,1.0
8781,14/10/1998,Female,APAC,Research Department,Colleague,7/4/2022,4.4,3.8,1.8,4.2,4.1,3.0,0,4,85,1.0
8590,11/08/1993,Male,UK & EMEA,Research Department,Colleague,7/26/2021,4.4,4.5,3.3,3.8,4.7,2.0,0,3,76,1.0
8579,04/02/1987,Female,USA,Sales & Marketing,Colleague,7/12/2021,4.4,3.7,3.3,4.0,3.9,3.0,0,5,97,1.0
8368,18/07/1992,Female,USA,Sales & Marketing,Colleague,10/29/2019,4.4,3.9,2.9,4.2,4.6,2.0,0,5,41,1.0
8491,29/01/1991,Female,APAC,Research Department,Colleague,11/2/2020,4.4,3.7,3.0,4.0,4.0,2.0,0,13,90,1.0
8317,07/12/1977,Female,USA,Sales & Marketing,Colleague,3/14/2019,4.3,3.6,2.7,3.9,3.9,4.0,0,2,60,1.0
8965,01/10/1996,Female,UK & EMEA,IT Department,Colleague,4/24/2023,4.3,3.9,3.3,4.7,3.9,2.0,0,3,88,1.0
8740,28/08/1985,Female,UK & EMEA,Finance,Colleague,4/25/2022,4.3,4.3,1.9,3.9,4.4,4.0,0,5,27,1.0
8589,16/08/1992,Male,APAC,Research Department,Colleague,7/26/2021,4.3,4.1,1.5,3.5,3.1,4.0,0,4,37,1.0
8501,02/02/1990,Male,UK & EMEA,Research Department,Colleague,11/16/2020,4.3,3.9,2.8,4.2,4.1,3.0,0,4,78,1.0
8432,19/07/1986,Male,APAC,Sales & Marketing,Colleague,5/6/2020,4.3,3.8,3.4,3.4,4.7,3.0,0,5,27,1.0
8067,01/08/1972,Female,APAC,Manufacturing,Colleague,2/21/2012,4.3,3.9,3.9,4.2,3.7,5.0,0,4,89,1.0
8355,22/08/1980,Male,USA,Sales & Marketing,Colleague,9/3/2019,4.3,3.9,3.5,3.8,3.9,4.0,0,15,70,1.0
8866,07/01/1975,Male,USA,Research Department,Colleague,10/17/2022,4.3,4.3,2.8,4.0,4.6,3.0,0,2,82,1.0
8712,30/10/1993,Female,APAC,Research Department,Colleague,2/14/2022,4.3,3.4,2.3,3.8,3.9,2.0,0,5,63,1.0
8984,10/12/1973,Female,USA,Research Department,Colleague,7/1/2023,4.2,3.7,3.8,3.9,4.2,5.0,0,1,98,1.0
8985,06/01/1970,Female,USA,Manufacturing,Senior Leader,7/1/2023,4.2,4.4,3.1,3.4,3.6,6.0,0,4,87,1.0
8698,05/03/1997,Male,USA,Manufacturing,Colleague,1/17/2022,4.2,4.1,4.0,3.6,4.2,3.0,0,2,-13,1.0
8610,01/12/1982,Female,USA,Manufacturing,Colleague,8/23/2021,4.2,3.8,3.4,4.5,3.7,3.0,0,5,100,1.0
8515,06/04/1970,Female,UK & EMEA,Research Department,Colleague,1/11/2021,4.2,4.7,3.4,4.0,4.1,4.0,0,4,87,1.0
8129,12/06/1991,Male,UK & EMEA,IT Department,Colleague,5/18/2015,4.2,3.9,2.9,4.3,4.4,3.0,0,4,97,1.0
8848,12/08/1991,Male,UK & EMEA,Finance,Colleague,9/26/2022,4.2,4.3,3.2,4.3,4.2,4.0,0,4,58,1.0
8443,25/02/1976,Female,UK & EMEA,Research Department,Senior Leader,6/8/2020,4.2,4.2,2.9,4.5,3.4,5.0,0,4,81,1.0
8134,02/12/1983,Female,USA,Research Department,Colleague,7/6/2015,4.2,4.2,2.8,3.3,4.2,4.0,0,4,57,1.0
8419,25/06/1990,Female,UK & EMEA,Manufacturing,Colleague,4/6/2020,4.2,3.8,3.0,4.2,4.7,4.0,0,2,96,1.0
8720,06/01/1998,Female,USA,Manufacturing,Colleague,3/7/2022,4.2,4.1,2.1,4.5,4.2,2.0,0,5,95,1.0
8277,03/08/1983,Female,UK & EMEA,Research Department,Colleague,9/12/2018,4.2,4.3,4.0,4.9,4.2,5.0,0,5,72,0.6
8858,18/02/1996,Male,USA,IT Department,Colleague,10/3/2022,4.2,3.9,3.1,3.8,4.7,4.0,0,4,49,1.0
8206,17/09/1998,Female,UK & EMEA,Human Resources,Colleague,9/11/2017,4.1,4.5,2.7,4.6,3.7,4.0,0,4,11,1.0
8089,09/11/1973,Female,USA,Sales & Marketing,Colleague,3/11/2013,4.1,3.9,2.4,3.8,3.8,4.0,0,2,64,1.0
8005,17/05/1982,Female,APAC,Research Department,Colleague,7/1/2004,4.1,4.5,2.8,3.6,4.1,3.0,0,4,52,1.0
8752,16/11/1980,Female,USA,Sales & Marketing,Senior Leader,5/16/2022,4.1,4.2,2.8,3.3,4.4,3.0,0,2,70,1.0
8353,26/03/1992,Female,UK & EMEA,Finance,Colleague,9/2/2019,4.1,4.6,3.2,4.2,3.4,3.0,0,2,-18,1.0
8954,05/03/1960,Male,USA,Manufacturing,Colleague,4/3/2023,4.1,4.3,3.6,3.9,4.2,6.0,0,4,-21,1.0
8827,05/08/1996,Male,APAC,Sales & Marketing,Colleague,9/5/2022,4.1,3.8,2.4,4.5,3.7,4.0,0,5,87,1.0
8345,04/06/1996,Female,UK & EMEA,Manufacturing,Colleague,8/5/2019,4.1,4.0,3.3,3.1,3.4,4.0,0,5,94,1.0
8275,28/10/1990,Male,APAC,Finance,Colleague,9/6/2018,4.1,3.4,2.9,3.6,4.3,4.0,0,1,65,1.0
8104,13/07/1992,Female,APAC,Manufacturing,Colleague,1/6/2014,4.1,3.6,1.9,4.4,4.0,4.0,0,4,23,1.0
8607,18/08/1994,Female,UK & EMEA,Manufacturing,Colleague,8/16/2021,4.1,4.2,2.4,3.2,4.2,4.0,0,1,-15,1.0
8557,25/05/1978,Female,APAC,Manufacturing,Colleague,6/7/2021,4.1,3.7,2.4,4.1,4.3,3.0,0,4,-21,1.0
8060,16/07/1989,Female,APAC,Manufacturing,Colleague,7/1/2011,4.1,3.6,4.2,3.3,3.7,2.0,0,4,90,1.0
8522,29/09/1995,Male,UK & EMEA,Sales & Marketing,Colleague,2/15/2021,4.1,4.1,3.8,4.4,4.1,2.0,0,2,81,1.0
8058,22/04/1987,Male,APAC,Manufacturing,Colleague,5/10/2011,4.1,4.1,2.6,3.7,3.3,4.0,0,2,39,1.0
8313,01/05/1976,Male,UK & EMEA,Sales & Marketing,Senior Leader,3/4/2019,4.1,4.3,3.0,4.4,3.9,3.0,0,4,26,1.0
8048,25/03/1981,Male,UK & EMEA,IT Department,Colleague,7/26/2010,4.1,3.6,3.0,3.5,3.5,5.0,0,2,30,1.0
8666,14/10/1961,Male,UK & EMEA,Manufacturing,Colleague,11/8/2021,4.0,3.5,3.4,4.3,4.1,4.0,0,4,99,1.0
8644,18/11/1965,Male,USA,Research Department,Colleague,10/4/2021,4.0,4.0,2.1,3.6,4.1,6.0,0,2,35,1.0
8617,28/03/1999,Female,APAC,Research Department,Colleague,9/6/2021,4.0,3.8,3.0,3.2,4.1,3.0,0,5,59,1.0
8271,22/02/1992,Female,UK & EMEA,Sales & Marketing,Colleague,8/28/2018,4.0,4.1,3.4,4.0,4.4,4.0,0,2,-9,1.0
8578,07/03/1981,Female,USA,Sales & Marketing,Colleague,7/12/2021,4.0,4.0,3.2,3.8,3.7,5.0,0,5,53,1.0
8613,23/06/1999,Male,APAC,Manufacturing,Colleague,8/23/2021,4.0,3.9,3.4,3.6,4.1,2.0,0,4,85,1.0
8299,13/12/1989,Female,UK & EMEA,Finance,Senior Leader,12/10/2018,4.0,3.2,3.4,4.4,4.0,3.0,0,2,100,0.8
8772,02/09/2001,Male,UK & EMEA,Sales & Marketing,Colleague,6/27/2022,4.0,4.1,2.2,3.4,4.1,2.0,0,2,4,1.0
8486,06/03/1997,Female,USA,Manufacturing,Colleague,10/20/2020,4.0,4.0,2.0,3.8,3.7,3.0,0,5,35,1.0
8153,12/05/1992,Female,UK & EMEA,Sales & Marketing,Colleague,1/26/2016,5.0,4.0,3.0,3.4,4.0,2.0,2,10,87,1.0
8302,20/09/1989,Male,UK & EMEA,Manufacturing,Colleague,1/2/2019,4.4,3.6,3.6,4.7,3.6,3.0,2,15,71,1.0
8133,22/04/1981,Male,USA,Manufacturing,Colleague,6/29/2015,4.8,4.7,3.6,4.7,4.5,5.0,6,10,92,1.0
8650,30/04/1979,Male,USA,IT Department,Colleague,10/11/2021,4.5,4.5,3.2,4.1,3.9,3.0,7,2,100,1.0
8779,19/03/1993,Female,APAC,Research Department,Colleague,7/4/2022,4.5,4.5,3.4,4.0,4.0,2.0,8,9,98,1.0
8038,13/10/1980,Male,APAC,IT Department,Colleague,10/9/2009,5.0,4.9,4.4,4.8,4.4,5.0,9,14,93,1.0
8467,02/02/1966,Male,USA,Manufacturing,Colleague,8/26/2020,4.9,4.7,4.1,4.2,4.0,4.0,9,12,74,1.0
8477,14/10/1990,Female,UK & EMEA,Finance,Colleague,9/14/2020,4.8,4.6,4.0,4.7,4.5,2.0,13,10,89,0.8
8416,24/05/1983,Male,UK & EMEA,Finance,Colleague,4/6/2020,4.6,4.9,2.9,4.5,4.0,3.0,13,6,88,1.0
8006,26/04/1984,Female,APAC,Research Department,Colleague,7/1/2004,4.9,5.0,3.4,4.0,4.4,4.0,17,7,70,1.0
8073,20/06/1989,Male,APAC,Research Department,Colleague,7/1/2012,4.9,4.3,2.8,5.0,4.8,2.0,17,7,97,1.0
8707,18/03/1991,Female,UK & EMEA,Human Resources,Colleague,2/7/2022,4.5,4.6,4.9,4.9,4.3,2.0,17,15,69,1.0
8816,01/05/1993,Male,UK & EMEA,Manufacturing,Colleague,8/15/2022,5.0,4.5,4.4,4.6,4.8,2.0,20,5,23,1.0
8103,26/07/1952,Female,UK & EMEA,Research Department,Colleague,1/2/2014,4.9,4.3,5.0,4.6,5.0,6.0,20,11,80,1.0
8755,15/12/1994,Female,APAC,Research Department,Colleague,5/23/2022,4.9,5.0,4.7,4.7,4.2,4.0,20,5,16,1.0
8379,17/08/1991,Female,APAC,Manufacturing,Colleague,12/2/2019,4.8,4.4,4.3,4.5,4.7,2.0,20,5,22,1.0
8019,27/10/1982,Male,APAC,Research Department,Colleague,7/3/2006,4.8,5.0,5.0,4.4,4.7,3.0,20,5,17,1.0
8442,17/09/1997,Male,APAC,Research Department,Colleague,6/2/2020,4.8,4.4,4.0,4.9,4.3,2.0,20,5,18,1.0
8754,07/10/1998,Male,USA,Human Resources,Colleague,5/17/2022,4.7,4.7,4.1,4.8,4.4,2.0,20,5,23,1.0
8013,10/01/1984,Male,APAC,Research Department,Colleague,7/12/2005,4.7,4.7,3.6,4.2,4.9,3.0,20,5,24,1.0
8762,19/06/1981,Female,USA,Sales & Marketing,Colleague,5/31/2022,4.7,4.7,4.6,4.6,5.0,5.0,20,5,15,1.0
8726,07/05/1982,Female,UK & EMEA,Sales & Marketing,Senior Leader,3/21/2022,4.6,4.6,3.4,4.9,4.2,5.0,20,5,20,1.0
8444,23/02/1997,Female,APAC,Manufacturing,Colleague,6/15/2020,4.5,4.2,4.2,4.9,4.9,2.0,20,5,10,1.0
8733,22/03/1994,I prefer not to identify,USA,Sales & Marketing,Colleague,4/11/2022,4.5,4.8,4.4,4.8,4.9,4.0,20,5,20,1.0
8854,27/09/1967,Male,USA,Manufacturing,Colleague,9/27/2022,4.5,4.9,3.6,4.8,4.4,5.0,20,10,93,1.0
8154,01/10/1980,Female,APAC,Sales & Marketing,Colleague,4/1/2016,4.4,4.1,3.9,4.9,4.3,4.0,20,14,60,1.0
8941,15/09/1990,Male,USA,Sales & Marketing,Colleague,3/13/2023,4.3,4.7,3.6,4.5,4.7,4.0,20,5,17,1.0
8511,25/07/1979,Male,UK & EMEA,IT Department,Colleague,12/18/2020,4.3,4.9,4.2,4.7,4.7,4.0,20,5,26,1.0
8786,25/09/1986,Male,USA,Research Department,Colleague,7/5/2022,4.2,4.6,4.1,4.2,4.4,4.0,20,5,13,1.0
